iter	Passed	Remaining
928	4684	358
929	4688	352
930	4692	347
931	4697	342
932	4702	337
933	4705	332
934	4711	327
935	4716	322
936	4720	317
937	4725	312
938	4730	307
939	4735	302
940	4740	297
941	4745	292
942	4750	287
943	4753	282
944	4758	276
945	4764	271
946	4768	266
947	4773	261
948	4777	256
949	4782	251
950	4787	246
951	4792	241
952	4797	236
953	4801	231
954	4807	226
955	4815	221
956	4820	216
957	4826	211
958	4833	206
959	4839	201
960	4846	196
961	4852	191
962	4859	186
963	4867	181
964	4874	176
965	4881	171
966	4888	166
967	4897	161
968	4904	156
969	4911	151
970	4917	146
971	4925	141
972	4931	136
973	4937	131
974	4943	126
975	4947	121
976	4952	116
977	4957	111
978	4961	106
979	4965	101
980	4970	96
981	4975	91
982	4979	86
983	4984	81
984	4988	75
985	4994	70
986	4999	65
987	5004	60
988	5008	55
989	5012	50
990	5017	45
991	5023	40
992	5027	35
993	5032	30
994	5036	25
995	5042	20
996	5046	15
997	5051	10
998	5056	5
999	5060	0
